Date,Market Cap,% Change
2020-06-15,178291100000,-0.33%
2020-06-12,178878800000,2.72%
2020-06-11,174148700000,-5.01%
2020-06-10,183343100000,0.32%
2020-06-09,182755300000,-1.12%
2020-06-08,184826500000,0.74%
2020-06-05,183469100000,2.29%
2020-06-04,179354700000,-0.44%
2020-06-03,180152400000,1.78%
2020-06-02,177003600000,0.02%
2020-06-01,176961600000,0.35%
2020-05-29,176345800000,-1.83%
2020-05-28,179634600000,1.22%
2020-05-27,177465400000,2.18%
2020-05-26,173686900000,5.57%
2020-05-22,164520400000,-0.33%
2020-05-21,165066200000,-1.56%
2020-05-20,167683200000,1.35%
2020-05-19,165444000000,-1.05%
2020-05-18,167193400000,2.21%
2020-05-15,163582800000,-0.05%
2020-05-14,163666700000,-0.69%
2020-05-13,164800300000,-2.01%
2020-05-12,168173000000,-5.51%
2020-05-11,177984300000,0.42%
2020-05-08,177235600000,1.30%
2020-05-07,174960800000,-0.05%
2020-05-06,175047200000,-0.31%
2020-05-05,175594300000,1.04%
2020-05-04,173780200000,-0.35%
2020-05-01,174384900000,-2.00%
2020-04-30,177941100000,-3.34%
2020-04-29,184088900000,1.89%
2020-04-28,180676700000,1.04%
2020-04-27,178819400000,1.34%
2020-04-24,176458200000,0.72%
2020-04-23,175191200000,0.21%
2020-04-22,174831200000,0.63%
2020-04-21,173737000000,-0.85%
2020-04-20,175234400000,-2.33%
2020-04-17,179409700000,2.28%
2020-04-16,175407100000,-0.94%
2020-04-15,177077300000,-1.32%
2020-04-14,179452900000,2.79%
2020-04-13,174586500000,-1.74%
2020-04-09,177682000000,-0.11%
2020-04-08,177869100000,1.35%
2020-04-07,175507900000,-0.42%
2020-04-06,176242200000,6.44%
2020-04-03,165573500000,-2.39%
2020-04-02,169633700000,0.95%
2020-04-01,168035500000,-2.70%
